number,address,percentage,functonName1,times1,functonName2,times2,functonName3,times3
1,0xdac17f958d2ee523a2206206994597c13d831ec7,0.9997,transfer,8976,approve,541,transferFrom,480
2,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,0.0003,nan,1,nan,1,nan,1
3,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0.6514,swapExactTokensForETHSupportingFeeOnTransferTokens,2485,swapExactETHForTokens,2367,swapETHForExactTokens,1662
4,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.9912,transfer,8018,approve,1378,transferFrom,516
5,0x000000000000006f6502b7f2bbac8c30a3f67e9a,0.0003,nan,1,nan,1,nan,1
6,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0.9995,atomicMatch_,8028,cancelOrder_,1809,nan,158
7,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0.6085,withdrawToken,2050,withdraw,2029,trade,2006
8,0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,0.9993,withdraw,9949,depositToken,27,deposit,17
9,0x174bfa6600bf90c885c7c01c7031389ed1461ab9,0.9994,transfer,9850,transferFrom,82,approve,62
10,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.9568,withdraw,3997,deposit,3496,approve,2075
11,0x7f268357a8c2552623316e2562d90e642bb538e5,0.998,atomicMatch_,6795,cancelOrder_,2438,incrementNonce,747
12,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,1.0,multicall,9997,nan,3,,
13,0x00000000003b3cc22af3ae1eac0440bcee416b40,0.9996,nan,9934,delegate,56,getUserAllNodePoolInfo,6
14,0x514910771af9ca656af840dff83e8264ecf986ca,0.9989,transfer,8284,approve,1123,transferFrom,582
15,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0.9999,transfer,8638,approve,1013,transferFrom,348
16,0xe592427a0aece92de3edee1f18e0157c05861564,1.0,nan,6588,multicall,3412,,
17,0x881d40237659c251811cec9c364ef91dc08d300c,1.0,swap,10000,,,,
18,0x06012c8cf97bead5deae237070f9587f8e7a266d,0.756,transfer,3611,approve,2119,createSaleAuction,1830
19,0x6b175474e89094c44da98b954eedeac495271d0f,0.9999,transfer,7504,approve,2154,transferFrom,341
20,0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405,0.9793,placeBet,4788,settleBet,4579,refundBet,426
21,0x1d6e8bac6ea3730825bde4b005ed7b2b39a2932d,0.9997,nan,9961,buyAndFree22457070633,32,withdrawETH,4
