blockNumber,timeStamp,hash,nonce,blockHash,from,to,value,gas,input,cumulativeGasUsed,gasUsed,methodId,functionName,functionName_noParas
15363798,1660808969,0xc08b03eb64f9952ca420ae46b2f5f4894737010af44c8e65d9391ee9636ce0ef,56,0xa76aa021c44c267d33e2f7edbb8275372ee6eb984b68e1bde00c284bf9e786f9,0x73a304c61298c030a67877193722ef1660347ea4,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,0,192020,0x0e752702ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,27857936,146617,0x0e752702,repayBorrow(uint256 repayAmount),repayBorrow
15363784,1660808758,0x5a6dae5459316d57279e8e9347f8695ead398794dc738c89f78312de9fb587d2,10,0xb93ab57d4267e285b9b80fce49a2f0db7d251d4fc20c49ac5a5c50e7b440a64f,0x3e5abe15b87fc933afd41d70f0d9fd44326d4e0c,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,0,230393,0xa0712d680000000000000000000000000000000000000000000000024befe28986f2c800,7785912,180010,0xa0712d68,mint(uint256 mintedAmount),mint
15363460,1660803936,0x97dc39da24a0ac9e4d256ef56409341197f9da94beb1047c877211b93901f8ff,52,0xae50f3dbb5ee87916dc3bac01b9531e3b98d3f77c7c1d75b601978b84c518fb4,0x73a304c61298c030a67877193722ef1660347ea4,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,0,402020,0xc5ebeaec0000000000000000000000000000000000000000000008128b2626492a040000,11430790,313872,0xc5ebeaec,borrow(uint256 borrowAmount),borrow
15363443,1660803696,0x4860508dcd7904bec24c87d85c5a1aafc690d62e21f31e98ac9257a263f9515c,55,0x2e257bee4ad2123354d06f16a4038c4f79c08233cbc6e6dd05a9f3a63e7e0e67,0x4f00a16d909e3c9df5b5e7be30b2af0b0e67c5a3,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,0,202020,0xa0712d6800000000000000000000000000000000000000000000234a9b6f266ec7eb5673,6673925,148664,0xa0712d68,mint(uint256 mintedAmount),mint
15363048,1660798417,0x917b008b44b046361a67d8fe832f9278eb1b71623d117315602f9d6e1b60c477,19,0x216437f8eb0aa121ffcd1135eb0140ae5a7231529ee8435b6aebfe767098c404,0x6fbcc13c57e4a70d7bafec0f87f2f39c047646fe,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,0,302020,0xc5ebeaec00000000000000000000000000000000000000000000028a857425466f800000,13488895,236243,0xc5ebeaec,borrow(uint256 borrowAmount),borrow
15362719,1660794081,0x120201815543447f027bc0f96f20ba04184cd3218d4801ba948c6f3d867c2db7,2920,0x36d48f56338af57197fb84df92b87b375558ef1480321c914112dd2c8501af2a,0x9da6ca884f24dc29b320cc9075d769909a55a544,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,0,600000,0xdb006a7500000000000000000000000000000000000000000000000000000038a03c56af,1209092,336212,0xdb006a75,redeem(uint256 tokens),redeem
15362500,1660791170,0x04c5aad7c35663a5d5fbd70c3e26ced967032eb06c4099281f50775f127c71f2,11,0x2b4e9612ae8153f6edd66e91d1ef40481cad48ff45148254502c1336eb9c5c0b,0x132c0f7fb5767b5d985b118c093fa453b3c25173,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,0,450000,0xa0712d680000000000000000000000000000000000000000000000126bdffab5b3ad5b25,1336332,178979,0xa0712d68,mint(uint256 mintedAmount),mint
15362193,1660786809,0x72714c0efb5417fbec77d6020bd123330c912348d5bd75c0135af292587852fe,6,0x23f9b037edfa25b3f0fbfaa9a15a3bd51638923e5a84ada7da923b0e055afdb8,0x0dc67997e54110dad535bb658c9808ac162073b1,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,0,282020,0xdb006a750000000000000000000000000000000000000000000000000000009639d13f5e,25400552,132207,0xdb006a75,redeem(uint256 tokens),redeem
15362166,1660786524,0x92aceb244eb901c8dfd0dc527f3f87f18753713576dab0871767473516f496f0,26,0x62767f40dbf217754067b9dcf80a4eba0c9823f39d8942863c69554c6f525c3a,0x806997eec9d2a1004790ddf6f09893d7592759e4,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,0,232020,0xa0712d6800000000000000000000000000000000000000000000002b5e3af16b18800000,8710897,184798,0xa0712d68,mint(uint256 mintedAmount),mint
15362081,1660785520,0xca29a1a4cafe943a31089f2f20eb6f22e52afd5f36d664adcd3d0e2513c80116,67,0xfdeac8fb8b4f521329addabd7b267c87100beca3af60cacb2b592bb20f8fc0bd,0x4693ba235e5067ea652315ca74294c259b6c5240,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,0,80000,0x095ea7b30000000000000000000000001111111254fb6c44bac0bed2854e76f90643097d0000000000000000000000000000000000000000000000000000013ece009440,2942340,52207,0x095ea7b3,"approve(address _spender, uint256 _value)",approve
