blockNumber,timeStamp,hash,nonce,blockHash,from,to,value,gas,input,cumulativeGasUsed,gasUsed,methodId,functionName,functionName_noParas
15363813,1660809209,0x59ec0b35448c9c83c5a4fe0bfba5289eb9ebc51f94ee088a5aa5bfe3914e0558,59,0x31bdc87af4dfbcfc42bce7091416e1d2cd8956bd1cb028aef8533252b8034858,0x73a304c61298c030a67877193722ef1660347ea4,0xf650c3d88d12db855b8bf7d11be6c55a4e07dcc9,0,212020,0x0e75270200000000000000000000000000000000000000000000000000000001ad2a35c9,28180853,157128,0x0e752702,repayBorrow(uint256 repayAmount),repayBorrow
15363498,1660804546,0xb556dd88537a0b28276f582152d276fcc1e74897547ef606ef9079b6ad61b02d,2,0xbfc6f35987172de04c6d20a5edfe93739d2186b4ec692324daa17d29e4c3dc91,0x2d35876b3fedb0fb07d26d8fea17674698afa2c6,0xf650c3d88d12db855b8bf7d11be6c55a4e07dcc9,0,252020,0xa0712d680000000000000000000000000000000000000000000000000000000020a9a9b3,19608527,191216,0xa0712d68,mint(uint256 mintedAmount),mint
15363464,1660803997,0x6838636baf7f581761af628f32f086f8bbb1fc704bbe09ae78d7e74e1caa89ab,53,0xf32e1cd94f6a3201cdca61910b134138e046449a0fb8ca3bbcb3ddda17328a69,0x73a304c61298c030a67877193722ef1660347ea4,0xf650c3d88d12db855b8bf7d11be6c55a4e07dcc9,0,422020,0xc5ebeaec000000000000000000000000000000000000000000000000000000087bc13d00,9323064,327111,0xc5ebeaec,borrow(uint256 borrowAmount),borrow
15362742,1660794376,0x0f03a059bf0deb2307a1056cfa019ca7aecbf433a9b42ab52a9b3d78b823d7dc,156,0xe1527961a2ce15f63c4f3bab20a3e0e523c157d1d8bd18becca2e4a877fd14e4,0xb263f34b0a1a05996c1665feaffe110fa3d2bb4a,0xf650c3d88d12db855b8bf7d11be6c55a4e07dcc9,0,297777,0xa0712d68000000000000000000000000000000000000000000000000000000007f684a41,6428806,191216,0xa0712d68,mint(uint256 mintedAmount),mint
15362699,1660793794,0x17fc4493a8f19ba6379903d61d9bb9e81cc3adcbeb56adfa3da1ce9b03e1d31b,141,0x57fceb3715a1e2598241113ca3ae2d20a1e755d54dcbe9f7cd6eba801f43b66d,0x572d7a01228d7904bcf7ca47f989e04b3e32fa63,0xf650c3d88d12db855b8bf7d11be6c55a4e07dcc9,0,900000,0x852a12e30000000000000000000000000000000000000000000000000000000008be76e0,24249496,479266,0x852a12e3,redeemUnderlying(uint256 redeemAmount),redeemUnderlying
15362648,1660793103,0xa1731b5b6b8adb082d03e4a39069d77955676e99c66799e018cf8cf62ab3c35b,2492,0xbcca4b6535a57d88c163b3d184c488e6be836a9c56c13dc6791a0c673f1fb434,0x889abdd2bc0f3a884e607279ba132501698fbcd5,0xf650c3d88d12db855b8bf7d11be6c55a4e07dcc9,0,552020,0xc5ebeaec0000000000000000000000000000000000000000000000000000000df8475800,5108046,429335,0xc5ebeaec,borrow(uint256 borrowAmount),borrow
15362593,1660792477,0x0cb46b4c6a6bcfae52b5429b563bf132e143b03790f446c805b5fe1c27dc9fda,6053,0x79a0eb8a774de98b1029da98106938496de49aa34a0426d2112c4435c30faf21,0xb99cc7e10fe0acc68c50c7829f473d81e23249cc,0xf650c3d88d12db855b8bf7d11be6c55a4e07dcc9,0,600000,0xa0712d680000000000000000000000000000000000000000000000000000003002895977,326674,164658,0xa0712d68,mint(uint256 mintedAmount),mint
15362576,1660792245,0xcc79df785cc816be61372c852e36007157c68f96490558d6ac3d25e67ef1c1c4,6048,0xdb8f099df5683660b790e0aa96fda72ae5e2e5f2c5797b9cc7f79f020a04e909,0xb99cc7e10fe0acc68c50c7829f473d81e23249cc,0xf650c3d88d12db855b8bf7d11be6c55a4e07dcc9,0,600000,0xdb006a750000000000000000000000000000000000000000000000000003ba37a40a175a,373408,373408,0xdb006a75,redeem(uint256 tokens),redeem
15362328,1660788820,0xc5d6a2db4bbe7363d3e1ae5c5cd4cd006bae1805e0f2a652c9028a5a99765d13,25,0x506fde58028a33ce64c427e5e3ea572ee674d2ae0ec6d06a60b82999e17bc4ec,0xebd12dc3a7553c9f1a982bbddc72f4e1ac864acc,0xf650c3d88d12db855b8bf7d11be6c55a4e07dcc9,0,232020,0x0e752702ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,6191928,174542,0x0e752702,repayBorrow(uint256 repayAmount),repayBorrow
15361901,1660783159,0x8a30facba3a347fb8ce0f0e1eeca990401d1e2acf2944a93f9038790b10bef8f,2049,0xc859afd241db6393d135651f2b8286170a31f554fa35d877da5e35c0eab92ad9,0x53fb0162bc8d5eec2fb1532923c4f8997bace111,0xf650c3d88d12db855b8bf7d11be6c55a4e07dcc9,0,232020,0x0e7527020000000000000000000000000000000000000000000000000000001ba99a5364,29687684,174228,0x0e752702,repayBorrow(uint256 repayAmount),repayBorrow
